id,company_id,compounded_sales_growth,compounded_profit_growth,stock_price_cagr,roe
1,hdfcbank,10 Years: 21%,10 Years: 22%,10 Years:     15%,10 Years:     17%
10,sbilife,5 Years:       24%,5 Years:            6%,5 Years:       8%,5 Years          14%
11,sbilife,3 Years:       17%,3 Years:            9%,3 Years:       7%,3 Years:         13%
12,sbilife,TTM:            43%,TTM:                 18%,1 Year:         -2%,Last Year:      12%
13,tcs,10 Years:     11%,10 Years:          9%,10 Years:      14%,10 Years:       40%
14,tcs,5 Years:       10%,5 Years:            8%,5 Years:      16%,5 Years:          44%
15,tcs,3 Years:       14%,3 Years:            12%,3 Years:      8%,3 Years:          47%
16,tcs,TTM:            5%,TTM:                 8%,1 Year:       16%,Last Year:       52%
17,wipro,10 Years:     8%,10 Years:          3%,10 Years:     12%,10 Years:        18%
18,wipro,5 Years:       9%,5 Years:            4%,5 Years:     20%,5 Years:          17%
19,wipro,3 Years:      13%,3 Years:            0%,3 Years:      -1%,3 Years:          17%
2,hdfcbank,5 Years:       22%,5 Years:           23%,5 Years:       8%,5 Years:       17%
20,wipro,TTM:           -3%,TTM:                 1%,1 Year:       39%,Last Year:       14%
3,hdfcbank,3 Years:       30%,3 Years:           26%,3 Years:       8%,3 Years:       17%
4,hdfcbank,TTM:            47%,TTM:                27%,1 Year:        13%,Last Year:    17%
5,infy,10 Years:     12%,10 Years:         9%,10 Years:     15%,10 Years:      27%
6,infy,5 Years:       13%,5 Years:           11%,5 Years:     22%,5 Years:        29%
7,infy,3 Years:       5%,3 Years:           10%,3 Years:     4%,3 Years:        31%
8,infy,TTM:            3%,TTM:                 8%,1 Year:       27%,Last Year:     32%
9,sbilife,10 Years:     23%,10 Years:          9%,10 Years:      9%,10 Years:      16%
