fiscal_year,period_name,year_id,sort_order
2007,2007,1,1
2008,2008,2,2
2009,2009,3,3
2010,2010,4,4
2011,2011,5,5
2011,Mar 2011,6,6
2011,Sep 2011,7,7
2012,2012,8,8
2012,Dec 2012,9,9
2012,Mar 2012,10,10
2013,2013,11,11
2013,Dec 2013,12,12
2013,Jun 2013,13,13
2013,Mar 2013,14,14
2013,Mar-13,15,15
2014,2014,16,16
2014,Dec 2014,17,17
2014,Jun 2014,18,18
2014,Mar 2014,19,19
2014,Mar-14,20,20
2014,Sep 2014,21,21
2015,2015,22,22
2015,Dec 2015,23,23
2015,Jun 2015,24,24
2015,Mar 2015,25,25
2015,Mar 2023 15,26,26
2015,Mar-15,27,27
2015,Sep 2015,28,28
2016,2016,29,29
2016,Dec 2016,30,30
2016,Mar 2016,31,31
2016,Mar-16,32,32
2016,Sep 2016,33,33
2017,2017,34,34
2017,Dec 2017,35,35
2017,Mar 2017,36,36
2017,Mar-17,37,37
2017,Sep 2017,38,38
2018,2018,39,39
2018,Dec 2018,40,40
2018,Mar 2018,41,41
2018,Mar-18,42,42
2018,Sep 2018,43,43
2019,2019,44,44
2019,Dec 2019,45,45
2019,Mar 2019,46,46
2019,Mar-19,47,47
2019,Sep 2019,48,48
2020,2020,49,49
2020,Dec 2020,50,50
2020,Mar 2020,51,51
2020,Mar-20,52,52
2020,Sep 2020,53,53
2021,2021,54,54
2021,Dec 2021,55,55
2021,Mar 2021,56,56
2021,Mar-21,57,57
2021,Sep 2021,58,58
2022,2022,59,59
2022,Dec 2022,60,60
2022,Mar 2022,61,61
2022,Mar-22,62,62
2022,Sep 2022,63,63
2023,2023,64,64
2023,Dec 2023,65,65
2023,Mar 2023,66,66
2023,Mar-23,67,67
2023,Sep 2023,68,68
2024,2024,69,69
2024,Mar 2024,70,70
2024,Mar-24,71,71
2024,Sep 2024,72,72
9999,TTM,73,73
